評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
6,5,6,6,5,
30,7,6,7,6,
30,7,7,7,7,
6,3,3,5,2,
6,6,4,5,5,
30,6,6,7,7,
35,3,3,3,3,
39,4,3,2,4,エンタメ部分が故障していたのが残念。
39,4,4,3,3,
39,3,5,4,4,
39,2,2,2,1,
8,6,6,5,5,
8,2,5,2,2,
8,5,4,4,4,
8,6,7,5,7,
8,4,6,3,2,
8,5,7,5,5,
8,1,7,1,5,
8,5,7,5,6,
28,5,5,6,6,
28,6,7,7,7,
28,7,7,7,7,
11,5,6,6,6,
39,4,5,4,5,
28,7,6,7,7,体を動かす楽しさがあると思います！
28,6,7,6,7,
30,7,6,7,7,
35,6,6,5,6,
30,7,7,7,7,
39,3,4,3,4,
8,5,7,6,6,
30,7,7,6,7,
30,7,6,7,7,
28,7,5,7,7,歌詞がテンポが早くなってもペースが変わっていない所が気になりました。ですけどモードがふたつあるのは新鮮でいいと思いました！
35,7,7,6,6,
30,5,7,6,7,
35,5,5,6,6,
28,6,6,6,7,
6,7,7,7,7,
6,6,6,7,5,
35,2,2,5,5,
30,5,6,6,6,
35,3,5,4,3,
35,4,6,5,5,
39,5,4,4,6,
30,6,7,6,7,
30,5,6,7,7,
8,3,3,3,2,
39,7,5,7,6,カエルさん動いてるの見たかった🐸
35,6,6,7,7,
35,5,7,5,5,
11,5,6,5,5,
35,6,7,6,6,
6,7,4,6,6,
35,5,6,6,6,
35,5,6,5,5,
35,3,2,4,4,
35,3,6,5,3,
35,4,3,4,4,
11,5,5,6,5,
8,4,7,3,4,
30,5,7,4,5,
8,3,3,2,2,
11,7,6,7,5,
8,5,5,3,4,
11,5,5,5,5,
8,4,5,4,4,
30,6,7,6,6,
39,5,7,5,6,
39,5,6,6,7,
30,6,6,6,6,
35,5,5,6,6,
39,3,5,3,3,
11,5,3,5,3,
6,6,4,6,5,
39,4,7,3,4,
6,5,5,6,5,
6,3,5,4,5,
6,5,5,5,6,
39,4,4,3,3,
39,2,1,2,2,
6,5,4,3,5,色によってbpmを変更するのはチャレンジングだと思った。
6,4,3,5,5,
39,5,7,5,6,
6,5,6,5,5,
39,5,4,4,4,
39,5,6,5,5,
8,3,5,2,3,
28,7,7,6,7,
11,2,3,5,4,
28,4,5,6,5,
30,3,3,2,2,
35,2,3,4,2,
6,5,4,6,6,UIとかも非常に凝っていて素敵で綺麗ですが、画面が多くてどこを見ればいいか分からないです。あと輪唱タイミングがいまいちわからないかもです。
39,2,3,2,2,
28,7,6,7,7,
39,4,7,4,5,
39,3,3,3,4,
39,2,2,2,2,
6,5,5,5,5,
35,4,4,3,4,
30,5,6,5,5,
28,6,7,5,7,
