評価対象チーム番号,評価項目：没入感・臨場感,評価項目：一体感・同期の心地よさ,評価項目：演出の華やかさ,評価項目：楽しさ・高揚感,システム全体に対するご意見・ご感想（任意）
36,7,7,7,7,感動して涙が出ました
20,7,7,7,7,素晴らしい
20,6,6,7,6,
20,6,6,7,6,
20,5,5,7,6,
38,6,7,7,5,再同期が凄かった
38,3,4,6,5,
38,3,6,6,5,
38,5,3,6,5,"音があまり似ていない。
もう少しリバーブとか入れたら似ると思う。
発想がすごく面白かったです。"
38,4,4,6,6,
38,5,3,6,5,
38,6,6,6,6,"生物らしさを感じた。
子機だけで完結させるというのが画期的だと思った。"
40,6,3,7,7,
36,7,7,7,7,非常に完成度の高いもので感心しました。
36,6,5,6,5,
36,7,7,6,6,
40,4,4,6,6,
40,4,4,7,4,
36,7,7,6,6,
40,7,6,7,6,レーザーの安定性と安全性が高くて素晴らしいと思いました
36,5,6,7,7,
36,5,7,7,5,
36,7,5,6,6,
40,6,3,6,7,
40,5,6,7,7,音色の再現度が非常に高いなと思った。
36,5,5,6,6,
18,5,6,7,7,
18,5,5,6,6,
18,5,6,7,6,
9,3,5,4,4,
9,3,6,3,3,
18,5,3,6,5,輪唱の要素が分かりづらかった
43,4,5,6,4,
18,4,1,1,7,"システムのアイデアはとても面白い
輪唱システムとしては演奏に目が行かない構図になっているのが少し気になった"
43,4,5,6,4,
18,6,6,5,6,
43,5,4,4,5,
43,5,6,4,4,
43,3,4,5,5,
43,3,3,5,7,
18,5,4,6,5,
18,5,5,6,6,
40,6,4,7,7,
43,4,4,5,5,テーマが違うチームであるため、演奏に関しての評価は「4（どちらでもない）」にしています。
38,5,3,4,7,
18,3,2,3,5,輪唱が聞こえなかった
38,4,3,5,6,
38,3,5,5,5,
9,5,6,6,6,
40,4,5,6,7,
18,3,6,7,6,
40,5,6,7,7,
40,4,6,4,4,
40,4,6,5,5,
43,3,3,4,5,
40,7,6,7,7,
43,3,3,1,3,
40,4,4,6,6,
40,5,6,6,7,
40,7,7,6,6,
40,5,2,7,7,
43,4,4,4,4,
18,5,5,6,4,
18,5,6,7,7,
40,5,5,7,7,
43,6,4,3,6,
40,7,1,6,7,リモコンを振って操作するというのがシステム名のフラグ回収になっていて面白かった
40,6,6,6,6,
18,5,4,4,7,
5,6,5,6,7,
18,7,7,7,7,
40,6,6,6,6,
18,5,7,6,6,走る速度によってテンポが変わるシステムなのに、入力する値が速度ではなくBPMなことに違和感があった。
5,6,5,4,6,
5,6,7,5,6,
5,6,5,6,6,
18,6,7,7,7,
2,3,5,4,4,
2,7,5,7,7,素晴らしいアイディア
2,7,5,7,7,
2,5,6,5,7,
2,4,5,7,6,
2,6,5,4,6,
2,5,5,5,5,
2,4,4,4,4,暴れてたやつがなんなのか知りたい
2,6,6,3,5,
2,3,2,2,4,
2,6,5,2,5,
2,3,3,3,3,
9,4,6,5,5,
9,5,7,4,6,
9,5,6,4,3,
2,2,3,4,6,
2,5,7,5,6,
2,3,5,3,3,
9,6,7,7,7,
40,7,6,7,7,
9,4,4,3,3,
5,5,4,5,6,
9,3,5,2,2,
5,4,5,6,6,
5,6,7,5,6,
9,5,7,5,4,
5,6,7,6,7,
9,5,5,3,3,
5,6,6,6,7,
9,6,7,4,4,
5,3,2,3,3,
5,4,4,5,5,
5,5,6,4,3,
5,6,6,6,6,
44,4,3,4,4,
5,5,5,4,5,
20,6,6,7,6,センサの工作がよかった
9,6,6,4,5,
40,5,6,5,7,
40,7,5,7,7,
40,6,7,7,6,
5,6,5,5,7,
40,5,3,6,4,
5,7,6,6,7,BPMだけでなくオクターブを変更できるのは画期的だと思いました
9,5,5,4,3,
5,5,5,5,5,
38,5,5,7,5,
18,5,6,6,6,
15,6,6,7,7,
9,5,6,5,4,
43,4,4,4,5,
44,4,4,4,5,
9,4,7,3,4,
38,7,7,5,4,
18,7,7,6,7,音がしっかり合ってる感じがしてよかった
38,7,7,4,4,UIがとても綺麗だなと思った
20,6,7,6,5,
2,5,4,4,5,
9,4,4,4,4,
9,5,6,5,6,
18,4,4,4,4,
5,7,6,7,7,
38,6,7,5,6,
40,7,7,7,6,回って同期はすごい
2,5,5,4,4,
5,5,4,5,4,
9,4,3,3,3,
15,5,5,5,4,
18,5,5,5,5,
20,5,5,5,5,
38,5,5,5,5,
